Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
94,I Don't Care (with Justin Bieber),Ed Sheeran,2144618,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019,11,8,us,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947,4
95,Speechless,Dan + Shay,2109710,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF,2019,11,8,us,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,213387,4
96,Bad To You (with Normani & Nicki Minaj),Ariana Grande,2095815,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5,2019,11,8,us,0.727,0.583,7,-7.385,0,0.0718,0.065,0,0.106,0.629,147.983,171840,4
97,Nice To Meet Ya,Niall Horan,2088268,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,2019,11,8,us,0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.034,158805,4
98,Sanguine Paradise,Lil Uzi Vert,2086901,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,2019,11,8,us,0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,243976,4
99,Does To Me (feat. Eric Church),Luke Combs,2082848,https://open.spotify.com/track/17TSJlshgQ5zu0e8dedAla,2019,11,8,us,0.616,0.849,0,-4.897,1,0.0373,0.308,0,0.311,0.639,113.066,223320,4
100,Motivation,Normani,2060051,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm,2019,11,8,us,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
1,everything i wanted,Billie Eilish,11794982,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2019,11,15,us,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
2,ROXANNE,Arizona Zervas,11628793,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019,11,15,us,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
3,Circles,Post Malone,8614588,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,11,15,us,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
